index,rating,review_text,Location,Room,Cleanliness,Service,Facilities,Food_and_beverage,Price,Safety
14670,4.6,"Fist impression was very bad and it was my trip to Brussels. When we arrived, there was no lobby, no reception, no concierge... only a counter with one person and not even with a hotel uniform. This was more like rent a room rather than a 3star hotel as it is advertised. The hotel’s webpage says nothing about the renovations and Booking.com  says that construction will end by Sept 10, which was not true, not even close. The room does NOT have air conditioner so if you want to rest during your vacations this is not the place. It has a fan (not a ceiling fan) not big enough to keep the room cool and if you leave the glass door open you will listen all the noise from the street and also all the light will come inside the room. I sweated all night. Bed and pillow are not confortable. There is no an ice machine. The day we left the only elevator thy have was not working to take the luggage down. For the approx. $125 per night that I paid, or maybe paying a little more, I would have find a much better place. I did not move to another place because of cancellation fees and looking for a hotel at last moment would cost much more. I definitely don’t recommend this place. The only good things it has is the location. ,

Location",1,-1,0,-1,-1,0,-1,0
19695,5.4,"We had to order and pay for our breakfasts for the two days in advance, 15 euro per person. The breakfast was very poor value for money indeed. No choice of cereal, just corn flakes in a plastic tube. The cheese slices curled at the edges, no fruit. Just orange juice (no choice), cornflakes, roll with some ham and cheese and coffee. 15 euro!! We have stayed in Yores hotels before so know that by comparison this was VERY poor!  On the last morning, there were no cereal bowls or cereal - we had to ask for some. The stairs to bedrooms share access to the cafe WC!  The door was always open with a constant spell of urine etc emanating up the stairs. The stairs and bannisters were wobbly and insecure. Both bedrooms had curtains which did not close properly due to missing hooks. The carpets needed a good clean. Two of our party were in their early 80s. We were on the 2nd floor which they could manage okay but there was no light up the final three steps - it was broken - and though we pointed this out it was not fixed.
Paid staff were friendly but the owner was not - no welcome or enquiry as to our stay. 
The whole stay at Old Tom was a big disappointment.,

Location was central.  Bed linen and towels were clean. Cafe was nicely decorated.",1,-1,-1,-1,-1,-1,-1,-1
21741,7,"The pillows were a bit strange and uncomfortable - they seemed to be made of blocks of foam. The windows had to be propped open in order to let any air in (although being directly on the street was a bit noisy to have the windows open anyway). There was dirt in the corner of the room when we arrived, but otherwise the room and bathroom were clean. The bathroom had no window or exhaust fan (and also no candle or air freshener) and plumbing is very loud if you are a light sleeper. Plumbing can be heard also when other rooms shower or use the toilet. Also, the hairdryer did not function well and the water in the shower took about a minute and a half to finally become warm. The check in staff is a bit unfriendly and the website says they speak English, Spanish, French, and Dutch. We tried English, Dutch, and Spanish but only French was actually possible. The website also says checkout is 11:00am, but it is actually 10.30, which is quite early in our experience. Unfortunately, our room was one of the rooms that did not receive a wifi signal.,

The view was wonderful and the location was excellent. Overall, this is a very, very basic room in a great location on the river for a decent price during the summer high season. Free parking within 50-100m was a nice bonus.",1,-1,0,-1,-1,0,1,0
7804,10,"The main things to consider before booking this boutique hotel are the fairly strict conditions in comparison with larger city centre hotels, in particular a 30-day cancellation policy and little flexibility of the timing of your check-in, as staff is only present at breakfast and during certain hours of the afternoon to receive new guests. The premises are fully covered by CCTV. If you can live with those restrictions, and if you don't mind climbing stairs, then you will have an absolutely wonderful stay.
Perhaps a small point of improvement might be the stability of the Wifi connection in the top floor suite, but the network connectivity in the common area was excellent.,

Loved the smell of freshly baked croissants every morning, as well as the overall help-yourself-at-any-time attitude of this boutique hotel, which does indeed make it an ""all in one"" experience. Coming home from work, you can make yourself a coffee or choose from a range of exquisite teas, and there will be some cookies and cake to accompany your beverage, which you enjoy in a beautiful salon with art on the walls and glossy magazines.
A special thanks to staff, who noticed within two minutes of my departure that I had forgotten my laptop in the room and took the trouble of reaching me on mobile to ensure I wouldn't leave without it. A personal touch that exemplifies the bliss of staying in a small boutique hotel with caring hosts.",0,1,1,1,1,1,0,1
2544,7,"Despite initially looking at this hotel for me trip, I went with the Radisson due to brand loyalty, however when informed of the renovation works I changed my booking to this hotel.
 Had to pay a 77 Euro upgrade because my room wasn't ready on arrival despite contacting them ahead. Got a Junior Suite which was spacious with a courtyard view, bedroom separate from bathroom and a mini hallway area,
Although it was very disappointing that a second bed wasn't placed in a lounge area as we were staying with my son, we had to share the bedroom with him, and in my opinion and experience in a suite their should be two sleeping areas. I also thought the bed whilst quite comfortable were tiny, my wife and I shared a supposed double bed and we barely fit it.
Also because staying with my son, it would have been nice to take advantage of room service, but the price was ludicrous, starting at 6 Euro for a espresso, so this was completely prohibitive, also be aware the hotel lists spa and fitness centre, whilst a basic gym is available the Spa actually doesnt belong to the hotel and you have to pay a 25 Euro surcharge per day to access it.,

Location seems ok, only a 10 minute Uber from the centre and 6-10 minute Uber from Brussels- Midi International.
Very grand looking and gives the impression of a grand 5 star hotel.",1,0,0,-1,-1,-1,-1,0
19150,7,"- Even though we were the only ones using our shower (thus private), it was in the ground floor (we were in the attic) which made our staying uncomfortable since we had a small kid. 
- Our private bathroom was also in the ground floor. Another bathroom existed in the first floor (below our bedroom) but it was shared.
- The ladder leading out of bedroom (in the attic) was steep and not very convenient for a small toddler and a pregnant woman (like I am). 
- The ""seaview"" characterization is theoretically true but in practice it's just a small portion of sea viewable from a small window in the attic. 
- Wifi was not strong in the attic where we spent most of our time, when staying in the house. If Wifi is necessary for you, you have to go to the ground floor/public space.,

- Very pleasant and welcoming hosts. 
- Free parking.
- Good common facilities (spacious kitchen and breakfast room and nice/calm terrace).
- Proximity to the sea, only 3 minutes walking distance. 
- Breakfast was good (fried egg, ham/cheese/bread, salmon tranches, coffee & juice, cereals, milk and pastries).
- Even though we didn't use them, there were some nice amenities like the shauna and the jacuzzi. The host was kind enough to borrow us a bike for free.",1,-1,1,1,1,1,0,-1
621,10,"Absolutely nothing
As mentioned by so many guests earlier, (even though we didn’t have an issue)the only disadvantage is that there are no lifts as it’s a typical Belgian style house , so people who have difficulty to climb stairs should think twice
,

I would write a novel on what we liked if you want!
Catherine is a lovely host who has it all.
Right from welcoming to planning our best spots in Brugges ( she taught us to pronounce it as BBrrrrugheee)
Spotlessly clean rooms and you have the lower floors with a dining and living space (not to forget the garden) done in a classical style.
Nice old music playing from Beatles to Bob
Map with a great explanation of what to and what not to do in the short time we had
Good suggestions for chocolate places, restaurants
This place knows what they are doing 
They are into real hospitality which has been lost along by so many hosts.
She was like a Mother hen taking care of our every single need to the extend that she even booked us a taxi to the train early in the morning 
This has made us thinking already of going back to Brugges again
Breakfast- homely, top quality and enough quantity.
24x7 free coffee machine/tea/chocolates 
Lovely beds
Large and ulterior clean toilets
and the list goes on and on and on
We recommend this and would rate it if we could give a double thumbs up",1,1,1,1,1,1,1,0
23222,2.9,"This hotel is situated in North Brussels, and I was concerned when I walked from the train station to the hotel and passed row after row of sex shops with girls in the windows selling their 'services'. There were lots of dubious looking groups of men hanging around on the street which made me feel uncomfortable walking to and from the hotel.
The room was basic - which is to be expected with a 2 star, but there was a smear of what can only be described as human excrement on the wall, the shower leaked all over the floor as there was a gaping hole in the bottom of the base, we did not have any towels provided on the first night, and the view from our window was an adjacent roof ledge from the building next door which was scattered with empty vodka bottles, nitrous oxide canisters and spoons which I will leave to the imagination the use.
Our first night was interrupted by the fact that the room next door decided to throw a room party with loud blaring rap music and shouting/singing which despite trying to ring reception (From our mobile as the room phone didn't work) went on until 5am, with our calls to reception going unactioned. 
I get that this hotel is cheap in comparison to others, however it is still expensive for the stay we received, and next time I would pay the extra to stay somewhere nicer.",-1,-1,-1,-1,-1,0,-1,-1
26160,10,"NOTHING,

GREAT !!
The Staff were more than great And Helpful we were there during ‘la Tour de France 2019’ and the roads leading to the hotel were closed the hotel sent us one of the employees ‘Alban’ to guide us through the crazy traffic he walked more than half an hour to reach us and another 1 hour in the car trying to figure out the quicker and less busier road to the hotel.
When we reach the hotel the Concierge Team welcomed us warmly with dozens of suggestions on how to spend the next 3 days in Brussels Specially Haluk et Jean in numerous instances they literally went out of the hotel with us to show how to reach a restaurant / Attraction - to my surprise the Concierge Team consist 6 personnel each specialized in a special area... and by the way they were extending the same service to all hotel Guests with the same unprecedented positive attitude at any time of the day.
With the hundreds of hotels that I have stayed with  during my travels I can easily say that I have never experienced a more professional concierge service like the one I have received from The Concierge Team at Amigo Rocco Forte.
In a nutshell. Great Location, Magnificent Concierge Team , Super clean Room and First Class Service from Doorman, Concierge , housekeeping till the Manager of the Hotel who was in the lobby most of the time.
Well Done Rocco Fort Team",1,1,1,1,1,0,0,1
11814,1,"The owner of the hotel was rude and the overall cleanliness of the room we were allocated was disgusting. The carpet was stained, the window was broken and taped up and the dust had been there for ages. The TV didn't work and the room was remotely like anything I had seen when looking for accommodation, we requested a different room he said he didn't have any. He informed me I had booked a double and that was what he gave me. He was then told that I had asked for double or a twin but certainly not a dirty room.  He said there was nothing he could do, he didn't have rooms like those advertised that was just booking.com making things up to get more people in. He eventually moved us to one of those rooms but it was still dirty with mould inside the cabinet in the bathroom and towels you could shoot peas through.  There were glass rings on the furniture which was covered in dust and the state of the radiators was sickening. I took a video or the first room and a couple of photos of the second room. We lived out of our suitcases for the 4 days & we were there on our own there were no other guests.
I wouldn't recommend this dirty hotel run by a very rude owner/manager to anyone!,

the only good thing to say about this hotel was the location.",1,-1,-1,-1,-1,0,0,0
